Cuenta,Handle,Categoria,Gasto_ARS,Alcance,Impresiones,Clicks,CTR (%),CPC ($),CPM ($),N_Campanas,IG_Account_ID
ADN Buena Salud,adnbuenasalud,Institucional,1471568.78,352517,470738,12514,2.66,117.59,3126.09,6,17841469123152609
Endocrinólogo,endocrinologo,Profesionales,960409.4199999999,462858,634857,34829,5.49,27.57,1512.8,4,17841401017522280
Ampkok,ampkok,Producto,893531.55,348875,501183,26053,5.2,34.3,1782.84,11,17841473314637643
Metasitol,metasitol,Producto,886668.1100000001,419025,570599,20591,3.61,43.06,1553.93,10,17841406720712882
Telomerina NAD+,telomerina.ok,Producto,759234.53,246674,367558,13611,3.7,55.78,2065.62,8,17841480683686013
Floragut,floragut.ok,Producto,741200.1499999999,241672,408016,11953,2.93,62.01,1816.6,7,17841480633888543
Satial,satial,Producto,741019.25,159115,209651,6903,3.29,107.35,3534.54,7,17841403677324034
Nutri 100,nutri100ok,Producto,704461.34,222987,295329,11327,3.84,62.19,2385.34,7,17841448342738548
Sacle,sacle.ar,Profesionales,682956.29,278830,339620,23762,7.0,28.74,2010.94,7,17841458391815608
Sin asignar,,Sin asignar,545398.34,156658,194744,6161,3.16,88.52,2800.59,6,
Dr. Milton Dan,drmiltondan,Profesionales,481319.74,103008,126734,3250,2.56,148.1,3797.87,4,17841403905644538
Vitamet,vitamet.ok,Producto,410437.54,101804,155980,7542,4.84,54.42,2631.35,4,17841480522983925
Farmaland,farmaland.ok,Institucional,406040.1,343902,441564,23789,5.39,17.07,919.55,1,17841465923726732
Médicos Consultores,medicosconsultores,Profesionales,199703.8,42924,56378,3343,5.93,59.74,3542.23,3,17841405819837406
Digecaps,digecaps,Producto,145031.61000000002,31746,38117,1351,3.54,107.35,3804.91,2,17841448165255748
Framingham Pharma,framinghampharma,Institucional,84024.26,30099,37982,1402,3.69,59.93,2212.21,1,17841448453771964
Goodskin,goodskinfs,Producto,66860.58,22095,29790,809,2.72,82.65,2244.4,1,17841448332230126
Evangelina Cueto,evangelinacueto,Profesionales,64560.74,11692,14019,347,2.48,186.05,4605.23,1,17841404174511555
Micaela Olivares,micaelaolivares,Profesionales,60626.68,18326,22421,737,3.29,82.26,2704.01,1,17841438777895142
Delfizi Nutrición,delfizi.nutricion,Profesionales,26764.72,17022,19388,602,3.11,44.46,1380.48,1,17841403067085936
Andrea Purita,andrea.purita,Profesionales,25988.27,9235,10101,297,2.94,87.5,2572.84,1,17841403115192801
