Fecha,Producto,Profesional,Programa,Conductor,Editado,Tomado,Tipo,Salida Real,,Valor Programa,Valor Apoyo
16/06/2026,Metasitol R1,Gabriel Lapman,La Cocina Rebelde,Jimena Monteverde,Lukas,TRUE,NOTA,0,, $1.350.000, $120.000
17/06/2026,Telomerina,Gabriel Lapman,Las mañanas con Andino ,Guillermo Andino ,Lukas,TRUE,NOTA,0,, $250.000, $120.000
17/06/2026,Menacor,Gabriel Lapman,Lape Club Social,Sergio Lapegüe,Juli,TRUE,NOTA,0,, $1.800.000, $120.000
17/06/2026,Menacor,Evangelina Cueto,Todo Cocinado,Rocío Marengo,Lukas,TRUE,NOTA,0,, $1.000.000, $70.000
17/06/2026,Telomerina,Evangelina Cueto,Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,, $70.000
17/06/2026,Digecaps,,Iluminadas ,Iliana Calabro ,Cande,TRUE,PNT,0,,,
18/06/2026,Vitamet,Evangelina Cueto,Desayuno Americano,Pamela David,Lukas,TRUE,NOTA,0,, $1.800.000, $70.000
18/06/2026,Telomerina,"Delfina Zimerman, Karina Ramírez",Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,,
18/06/2026,Digecaps,,Iluminadas ,Iliana Calabro ,Lukas,TRUE,PNT,0,,,
18/06/2026,Creatina HCL,Delfina Zimerman,Iluminadas ,Iliana Calabro ,Juli,TRUE,NOTA,0,,, $100.000
18/06/2026,AMPK Protein,Delfina Zimerman,Iluminadas ,Iliana Calabro ,Juli,TRUE,NOTA,0,,, $100.000
18/06/2026,Serrapep,Karina Ramírez,Iluminadas ,Iliana Calabro ,Juli,TRUE,NOTA,0,,, $70.000
18/06/2026,Satial Food,,Iluminadas ,Iliana Calabro ,Juli,TRUE,PNT,0,,,
19/06/2026,Telomerina,Gabriel Lapman,TL 9 al Amanecer ,,Lukas,TRUE,NOTA,0,, $771.120, $120.000
19/06/2026,Menacor,Gabriel Lapman,Desayuno Americano,Pamela David,Lukas,TRUE,NOTA,0,, $1.800.000, $120.000
19/06/2026,Menacor,,Que mañana! ,Julián Weich ,Juli,TRUE,NOTA,0,, $1.071.000,
19/06/2026,Daozima,Delfina Zimerman,Lape Club Social,Sergio Lapegüe,Lukas,TRUE,NOTA,0,, $1.800.000, $100.000
19/06/2026,Creatina HCL,,TL 9 al Mediodia,,Lukas,TRUE,NOTA,0,, $1.568.700,
19/06/2026,Metasitol R1,Gabriel Lapman,Mediodía bien arriba,Carlos Monti,Lukas,TRUE,NOTA,0,, $250.000, $120.000
19/06/2026,Goodskin,Karina Ramírez,Los profesionales con Flor,Florencia de la V,Lukas,TRUE,NOTA,0,, $1.285.200, $70.000
19/06/2026,Serrapep,,Iluminadas ,Iliana Calabro ,Lukas,TRUE,PNT,0,,,
19/06/2026,Goodskin,Karina Ramírez,Iluminadas ,Iliana Calabro ,Cande,TRUE,NOTA,5,,, $70.000
19/06/2026,Daozima,Micaela Olivares,Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,, $70.000
19/06/2026,Menacor,"Micaela Olivares, Karina Ramírez",Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,,
22/06/2026,Serrapep,Gabriel Lapman,Lape Club Social,Sergio Lapegüe,Lukas,TRUE,NOTA,0,, $1.800.000, $120.000
22/06/2026,Serrapep,Gabriel Lapman,Todo Cocinado,Rocío Marengo,Juli,TRUE,NOTA,0,, $1.000.000, $120.000
22/06/2026,Serrapep,,Iluminadas ,Iliana Calabro ,Cande,TRUE,PNT,0,,,
22/06/2026,Menacor,"Micaela Olivares, Mercedes Fiuza",Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,,
22/06/2026,Floragut,Micaela Olivares,Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,, $70.000
22/06/2026,Floragut,Mercedes Fiuza,Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,,
22/06/2026,Metasitol,Mercedes Fiuza,Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,,
22/06/2026,Satial Food,,Iluminadas ,Iliana Calabro ,Cande,TRUE,PNT,0,,,
23/06/2026,Metasitol,Micaela Olivares,Desayuno Americano,Pamela David,Juli,TRUE,NOTA,0,, $1.800.000, $70.000
23/06/2026,Daozima,Gabriel Lapman,La mañana de Moria ,Moria Casan,Lukas,TRUE,NOTA,0,, $1.700.000, $120.000
23/06/2026,Metasitol R1,Micaela Olivares,Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,, $70.000
23/06/2026,Telomerina,,Iluminadas ,Iliana Calabro ,Cande,TRUE,PNT,0,,,
23/06/2026,Satial Food,,Iluminadas ,Iliana Calabro ,Cande,TRUE,PNT,0,,,
23/06/2026,Goodskin,,Iluminadas ,Iliana Calabro ,Lukas,TRUE,NOTA,0,,,
24/06/2026,Menacor,Gabriel Lapman,Las mañanas con Andino ,Guillermo Andino ,Lukas,TRUE,NOTA,0,, $250.000, $120.000
24/06/2026,Metasitol R1,Micaela Olivares,Lape Club Social,Sergio Lapegüe,,TRUE,NOTA,0,, $1.800.000, $70.000
24/06/2026,Daozima,Evangelina Cueto,Todo Cocinado,Rocío Marengo,,TRUE,NOTA,0,, $1.000.000, $70.000
24/06/2026,Telomerina,,Iluminadas ,Iliana Calabro ,Cande,TRUE,PNT,0,,,
24/06/2026,Goodskin,Andrea Purita,Iluminadas ,Iliana Calabro ,,TRUE,NOTA,0,,, $170.000
24/06/2026,Serrapep,,Iluminadas ,Iliana Calabro ,Cande,TRUE,PNT,0,,,
24/06/2026,Sele200,Evangelina Cueto,Iluminadas ,Iliana Calabro ,,TRUE,NOTA,0,,, $70.000
24/06/2026,Satial Food,Andrea Purita,Iluminadas ,Iliana Calabro ,,TRUE,NOTA,0,,, $170.000
25/06/2026,Vitamet,Gabriel Lapman,Desayuno Americano,Pamela David,,TRUE,NOTA,0,, $1.800.000, $120.000
25/06/2026,Goodskin,Andrea Purita,Con Carmen,Carmen Barbieri ,,TRUE,NOTA,0,, $1.178.100, $170.000
25/06/2026,Vitamet,Delfina Zimerman,La Cocina Rebelde,Jimena Monteverde,,TRUE,NOTA,0,, $1.350.000, $100.000
25/06/2026,Satial Food,Andrea Purita,Los profesionales con Flor,Florencia de la V,,TRUE,NOTA,0,, $1.285.200, $170.000
25/06/2026,Satial Food,Andrea Purita,Todo Cocinado,Rocío Marengo,,TRUE,NOTA,0,, $1.000.000, $170.000
25/06/2026,Serrapep,,Iluminadas ,Iliana Calabro ,Cande,TRUE,PNT,0,,,
25/06/2026,Creatina HCL,Karina Ramírez,Iluminadas ,Iliana Calabro ,,TRUE,NOTA,0,,, $70.000
25/06/2026,Capskrill,Evangelina Cueto,Iluminadas ,Iliana Calabro ,,TRUE,NOTA,0,,, $70.000
25/06/2026,Satial Food,,Iluminadas ,Iliana Calabro ,Cande,TRUE,PNT,0,,,
25/06/2026,AMPK Protein,Andrea Purita,Iluminadas ,Iliana Calabro ,,TRUE,NOTA,0,,, $170.000
26/06/2026,Telomerina,Gabriel Lapman,TL 9 al Amanecer ,,Juli,TRUE,NOTA,0,, $771.120, $120.000
26/06/2026,Creatina HCL,Karina Ramírez,Desayuno Americano,Pamela David,,TRUE,NOTA,0,, $1.800.000, $70.000
26/06/2026,Daozima,Gabriel Lapman,Que mañana! ,Julián Weich ,,TRUE,NOTA,0,, $1.071.000, $120.000
26/06/2026,Vitamet,Delfina Zimerman,Lape Club Social,Sergio Lapegüe,,TRUE,NOTA,0,, $1.800.000, $100.000
26/06/2026,Metasitol R1,Gabriel Lapman,TL 9 al Mediodia,,,TRUE,NOTA,0,, $1.568.700, $120.000
